Namespace(cpu=False, exp_name='loop_0.5dt', Psi_lr=0.03, learn_F=False, learn_C=False, clip_len=10, n_grad_desc_iter=500, single_frame=False, psi_model_input_type='eigen', save_interval=1, base_model='fixed_corotated', optimizer='SGD', force_convex=False, compare_grads=False, use_loop=True)
[Taichi] mode=release
[Taichi] preparing sandbox at /tmp/taichi-5ryeecot
[Taichi] version 0.7.26, llvm 10.0.0, commit e37bdb5e, linux, python 3.9.7
[Taichi] Starting on arch=x64
init E = tensor([1047.3070], device='cuda:0'), nu = tensor([0.2293], device='cuda:0')
C_max=411.896484375, F_max=1.0724413394927979
C_max=387.22265625, F_max=1.0709108114242554
C_max=370.896484375, F_max=1.0694352388381958
C_max=371.671875, F_max=1.0679059028625488
C_max=372.5966796875, F_max=1.0662559270858765
C_max=373.6630859375, F_max=1.069169521331787
C_max=374.765625, F_max=1.0740315914154053
C_max=375.76171875, F_max=1.0783034563064575
C_max=376.5205078125, F_max=1.083862066268921
C_max=376.892578125, F_max=1.0904299020767212
C_max=376.6416015625, F_max=1.0969496965408325
C_max=375.4375, F_max=1.1033436059951782
C_max=372.9951171875, F_max=1.109533429145813
C_max=369.1728515625, F_max=1.1154450178146362
C_max=363.9345703125, F_max=1.1210094690322876
C_max=357.35107421875, F_max=1.1261630058288574
C_max=349.5849609375, F_max=1.1308503150939941
C_max=340.8466796875, F_max=1.1350245475769043
C_max=331.36962890625, F_max=1.1386479139328003
C_max=321.36669921875, F_max=1.141688585281372
C_max=311.0361328125, F_max=1.1441031694412231
C_max=300.541259765625, F_max=1.1458308696746826
C_max=290.017333984375, F_max=1.1468156576156616
C_max=279.551025390625, F_max=1.1470091342926025
C_max=270.26092529296875, F_max=1.1463768482208252
C_max=262.251220703125, F_max=1.1449153423309326
C_max=254.2503662109375, F_max=1.1426587104797363
C_max=246.229736328125, F_max=1.1396950483322144
C_max=238.172607421875, F_max=1.1408299207687378
C_max=230.054931640625, F_max=1.1470087766647339
C_max=221.84033203125, F_max=1.1533206701278687
C_max=214.861328125, F_max=1.1596558094024658
C_max=209.568359375, F_max=1.1658976078033447
C_max=203.685546875, F_max=1.1719255447387695
C_max=200.09375, F_max=1.1776156425476074
C_max=209.845458984375, F_max=1.182841420173645
C_max=224.9375, F_max=1.1874785423278809
C_max=239.579345703125, F_max=1.1914106607437134
C_max=252.513671875, F_max=1.19453763961792
C_max=262.3245849609375, F_max=1.1967909336090088
C_max=267.404296875, F_max=1.1981532573699951
C_max=266.675048828125, F_max=1.198714256286621
