Namespace(cpu=False, exp_name='loop', Psi_lr=0.03, learn_F=False, learn_C=False, clip_len=10, n_grad_desc_iter=500, single_frame=False, psi_model_input_type='eigen', save_interval=1, base_model='fixed_corotated', optimizer='SGD', force_convex=False, compare_grads=False, use_loop=True)
[Taichi] mode=release
[Taichi] preparing sandbox at /tmp/taichi-ab8ymzk3
[Taichi] version 0.7.26, llvm 10.0.0, commit e37bdb5e, linux, python 3.9.7
[Taichi] Starting on arch=x64
init E = tensor([1047.3070], device='cuda:0'), nu = tensor([0.2293], device='cuda:0')
C_max=413.529296875, F_max=1.0708889961242676
C_max=401.462890625, F_max=1.0672781467437744
C_max=414.4189453125, F_max=1.0655238628387451
C_max=422.6083984375, F_max=1.0785391330718994
C_max=426.80078125, F_max=1.0925557613372803
C_max=426.857421875, F_max=1.1072518825531006
C_max=421.634765625, F_max=1.1217361688613892
C_max=410.43408203125, F_max=1.1348154544830322
C_max=393.74169921875, F_max=1.1453838348388672
C_max=372.9111328125, F_max=1.1526718139648438
C_max=349.495361328125, F_max=1.1563079357147217
C_max=324.83740234375, F_max=1.1559942960739136
C_max=299.8282470703125, F_max=1.1516060829162598
C_max=282.681396484375, F_max=1.143517017364502
C_max=284.135498046875, F_max=1.1548383235931396
C_max=272.8529052734375, F_max=1.169676423072815
C_max=252.3443603515625, F_max=1.1831116676330566
C_max=254.109375, F_max=1.194313883781433
C_max=268.291015625, F_max=1.2023910284042358
C_max=305.0244140625, F_max=1.206284999847412
C_max=336.556640625, F_max=1.205168604850769
C_max=344.435791015625, F_max=1.1993978023529053
C_max=320.5440673828125, F_max=1.1911646127700806
C_max=275.5623779296875, F_max=1.189103364944458
C_max=231.087890625, F_max=1.1871700286865234
C_max=255.84765625, F_max=1.1879806518554688
C_max=278.564453125, F_max=1.1961746215820312
C_max=291.369140625, F_max=1.1979432106018066
C_max=288.697265625, F_max=1.1950792074203491
C_max=278.291015625, F_max=1.190004825592041
C_max=262.224609375, F_max=1.1846981048583984
C_max=248.439453125, F_max=1.1882121562957764
C_max=241.478515625, F_max=1.1961077451705933
C_max=240.7353515625, F_max=1.2032116651535034
C_max=236.6416015625, F_max=1.2086561918258667
C_max=231.69140625, F_max=1.2118635177612305
C_max=239.6328125, F_max=1.2128169536590576
C_max=256.2734375, F_max=1.2120205163955688
C_max=275.705078125, F_max=1.2101781368255615
C_max=294.95703125, F_max=1.2078983783721924
C_max=307.2265625, F_max=1.205515742301941
C_max=306.01171875, F_max=1.2031919956207275
C_max=288.43359375, F_max=1.201052188873291
C_max=258.55078125, F_max=1.199074387550354
C_max=254.66015625, F_max=1.1974080801010132
C_max=261.48828125, F_max=1.195934534072876
